track,model,threshold,n_bets,flat_roi,roi_lo,roi_hi
market_blind,catboost,0.09999999999999999,1950,-0.05614871794871794,-0.13994910256410256,0.030663846153845972
market_blind,catboost,0.10999999999999999,1561,-0.07012171684817424,-0.16062475976937857,0.02852450352338236
market_blind,catboost,0.11999999999999998,1250,-0.09979999999999997,-0.19604519999999998,0.0063429999999999155
market_blind,catboost,0.12999999999999998,1015,-0.09032512315270935,-0.20030221674876844,0.019559113300492606
market_blind,catboost,0.13999999999999999,847,-0.0637190082644628,-0.18719126328217234,0.06123730814639901
market_blind,catboost,0.14999999999999997,671,-0.040551415797317414,-0.17392399403874811,0.11000074515648287
market_blind,catboost,0.15999999999999998,556,0.008021582733812961,-0.13983857913669065,0.16637140287769778
market_blind,catboost,0.16999999999999996,450,-0.022666666666666665,-0.1865983333333333,0.16138388888888877
market_blind,catboost,0.17999999999999997,342,0.01657894736842108,-0.1895614035087719,0.2363764619883041
market_blind,catboost,0.18999999999999997,271,0.05785977859778597,-0.191010147601476,0.3254667896678963
market_blind,catboost,0.19999999999999996,221,0.058868778280543,-0.2254366515837104,0.35891742081447964
market_blind,catboost_tuned,0.02,9689,-0.05732583341934152,-0.09410744142842398,-0.018377515739498407
market_blind,catboost_tuned,0.03,7893,-0.061459521094640826,-0.10450104522995057,-0.016600342075256562
market_blind,catboost_tuned,0.039999999999999994,6305,-0.05966058683584456,-0.10607684377478191,-0.009819230769230807
market_blind,catboost_tuned,0.049999999999999996,4911,-0.06289757686825494,-0.11945891875381794,-0.0042140093667278
market_blind,catboost_tuned,0.06,3826,-0.06719550444328279,-0.1309291035023523,-0.0011140224777836235
market_blind,catboost_tuned,0.06999999999999999,2937,-0.07710929519918285,-0.14181350017024175,-0.0029159856996935985
market_blind,catboost_tuned,0.07999999999999999,2234,-0.06999999999999999,-0.14477752909579228,0.014409243509400118
market_blind,catboost_tuned,0.09,1649,-0.045354760460885386,-0.13209172225591265,0.043653274711946556
market_blind,catboost_tuned,0.09999999999999999,1257,-0.022490055688146382,-0.11955469371519489,0.08453042959427198
market_blind,catboost_tuned,0.10999999999999999,951,-0.016077812828601473,-0.12588012618296532,0.10057492113564666
market_blind,catboost_tuned,0.11999999999999998,735,-0.06397278911564626,-0.17602108843537415,0.05458809523809523
market_blind,catboost_tuned,0.12999999999999998,572,-0.05823426573426574,-0.18390078671328672,0.06579720279720276
market_blind,catboost_tuned,0.13999999999999999,453,-0.07264900662251655,-0.21132064017660046,0.07522350993377476
market_blind,catboost_tuned,0.14999999999999997,333,-0.07720720720720722,-0.2472094594594595,0.10720795795795794
market_blind,catboost_tuned,0.15999999999999998,251,0.028605577689243027,-0.17980677290836652,0.2647450199203188
market_blind,catboost_tuned,0.16999999999999996,191,0.08193717277486914,-0.1858350785340314,0.3566740837696334
market_blind,catboost_tuned,0.17999999999999997,147,0.08115646258503405,-0.189062925170068,0.39517176870748294
market_blind,catboost_tuned,0.18999999999999997,116,0.08663793103448271,-0.21407112068965514,0.41698491379310343
market_blind,catboost_tuned,0.19999999999999996,80,0.17375000000000004,-0.21528749999999994,0.6097874999999998
market_blind,lightgbm,0.02,10997,-0.0590515595162317,-0.09635386923706464,-0.019552764390288288
market_blind,lightgbm,0.03,9839,-0.04905986380729749,-0.08829781990039638,-0.009724921231832603
market_blind,lightgbm,0.039999999999999994,8777,-0.050055827731571155,-0.09613612282100943,-0.005760026204853621
market_blind,lightgbm,0.049999999999999996,7766,-0.03374066443471542,-0.07912557944887973,0.013145345093999436
market_blind,lightgbm,0.06,6873,-0.0349949076094864,-0.08470209515495415,0.013002218827295206
market_blind,lightgbm,0.06999999999999999,6074,-0.0433849193282845,-0.09413125617385577,0.010220242015146505
market_blind,lightgbm,0.07999999999999999,5292,-0.0346636432350718,-0.0947836829176115,0.024613945578231187
market_blind,lightgbm,0.09,4580,-0.03915720524017468,-0.10256817685589519,0.025516648471615704
market_blind,lightgbm,0.09999999999999999,3964,-0.033332492431887,-0.10171304238143289,0.03905146316851664
market_blind,lightgbm,0.10999999999999999,3384,-0.06253841607565011,-0.13693602245862885,0.011184988179669009
