season,feature,ks_statistic,ks_p_value,psi,drifted
2023,home_goals_against_r5,0.020737643517942595,0.7077214958628424,0.008774156618394913,False
2023,home_goals_against_r10,0.028064221535533198,0.3517005741005169,0.010363902605298278,False
2023,home_xg_for_r5,0.11467026559713041,2.3588687626731656e-13,0.05646810990582321,False
2023,home_xg_for_r10,0.13475249503478853,1.2357013909373333e-17,0.07737859781703803,False
2023,home_xg_against_r5,0.09782551690623241,7.807763447632025e-10,0.05299095589643538,False
2023,home_xg_against_r10,0.12368905495162827,6.391010308309422e-15,0.06835621257651099,False
2023,away_elo,0.12971560872012738,5.664403578286251e-17,0.27778889075461427,True
2023,away_points_r5,0.020960846416895402,0.6952058388042937,0.009808155665583724,False
2023,away_points_r10,0.026687610190148262,0.4128092139767952,0.012042954344258753,False
2023,away_goals_for_r5,0.035260330293752556,0.11803467494929885,0.010483424845855098,False
2023,away_goals_for_r10,0.050284571604368555,0.007902919310926489,0.018978405259602295,False
2023,away_goals_against_r5,0.046958703883855736,0.013390387474221888,0.012038823748679688,False
2023,away_goals_against_r10,0.038725994817365376,0.07457345636295079,0.012939072327039704,False
2023,away_xg_for_r5,0.12290568290332021,2.8009341267423054e-15,0.06743425239522469,False
2023,away_xg_for_r10,0.13628199211955558,4.851360697826385e-18,0.08173388332960733,False
2023,away_xg_against_r5,0.09817258219979255,6.693337878210419e-10,0.04914663072990478,False
2023,away_xg_against_r10,0.12364074166104623,6.401642888959673e-15,0.07505459792701727,False
2023,elo_diff,0.018186829955010385,0.8417078030065117,0.010378488176967859,False
2023,rest_diff,0.031048650893303824,0.22193100166346436,0.01999019425925553,False
2023,points_diff_r5,0.020525717108672247,0.7195504153432265,0.006190143664773919,False
2023,xg_diff_r5,0.044075502363140555,0.024248046077943893,0.023546911214707384,False
2023,goal_diff_r5,0.024900100145967895,0.47787717948454356,0.008272170014799228,False
2023,xg_overperformance_r5,0.030000653320433984,0.2563689258471193,0.006535595146578883,False
2023,points_diff_r10,0.01832952748284556,0.854010686121228,0.0037080361224067237,False
2023,xg_diff_r10,0.023966014812696734,0.5563014105323253,0.006939246001343245,False
2023,goal_diff_r10,0.01326050410718603,0.9899196875423879,0.0043771187028964365,False
2023,xg_overperformance_r10,0.023571239818379407,0.5776480478489243,0.007178434869425072,False
2024,home_elo,0.12244718027063976,3.389625881814623e-15,0.1662972419899569,False
2024,home_points_r5,0.01949163129883527,0.7749365447800731,0.005939025013160098,False
2024,home_points_r10,0.03803010698802676,0.08317852596843775,0.019610503518172208,False
2024,home_goals_for_r5,0.050970369550706586,0.005446243446791019,0.015930786219986785,False
2024,home_goals_for_r10,0.05211078620676654,0.005184136848800974,0.029989376743482368,False
2024,home_goals_against_r5,0.022794671445042138,0.5905414532871583,0.008772252047258422,False
2024,home_goals_against_r10,0.032790181679152174,0.18724624560282513,0.008836263292511764,False
2024,home_xg_for_r5,0.11468404538980764,2.2146397338285672e-13,0.0628109949720883,False
2024,home_xg_for_r10,0.1567360944333354,8.547366822054087e-24,0.11269618429758253,False
2024,home_xg_against_r5,0.10489289704480798,2.90920390884263e-11,0.06674923401171413,False
2024,home_xg_against_r10,0.13001844499266463,1.709545792650021e-16,0.10634475415000158,False
2024,away_elo,0.12527012218410785,6.925085367430061e-16,0.17072311552908248,False
2024,away_points_r5,0.024337410896266655,0.5061537166646648,0.012585207911100271,False
2024,away_points_r10,0.026874976062881705,0.4024801590756641,0.019048097751060075,False
2024,away_goals_for_r5,0.03563810230911187,0.1104980576017886,0.008203863238097945,False
2024,away_goals_for_r10,0.04275390285507216,0.03606603120357069,0.01810730190311874,False
2024,away_goals_against_r5,0.04094738194759255,0.04394767866866914,0.010660904905330837,False
2024,away_goals_against_r10,0.03947920686874996,0.06500524932717625,0.011684301868322764,False
2024,away_xg_for_r5,0.1085270086489072,5.007727490140568e-12,0.06466848376030476,False
2024,away_xg_for_r10,0.14866683754086496,1.8935544505412783e-21,0.0952820820770088,False
2024,away_xg_against_r5,0.11934849420491092,1.85793452374517e-14,0.07319023643650324,False
